level,n_runs,thermal_encounters_per_uav_mean,thermal_encounters_per_uav_std,exploitation_saving_wh_mean,exploitation_saving_wh_std,execution_duration_s_mean,execution_duration_s_std,final_soc_pct_mean,final_soc_pct_std,thermalling_time_s_mean,thermalling_time_s_std,thermal_alt_gain_m_mean,thermal_alt_gain_m_std,propulsion_energy_wh_mean,propulsion_energy_wh_std
low,5,0.03333333333333333,0.07453559924999299,0.07254138558184237,0.1622074693430227,713.6470371405284,1.7120509614794497,13.275195121765137,4.672207895924975,12.312301588058471,27.531143310377352,47.70555114746094,,20.807017974858173,1.1210579891750716
nominal,5,1.2333333333333334,0.5348935511960405,4.119650485035294,2.4421106733111446,715.5769830624263,0.9578827774679318,18.87141070365906,5.14334123183656,611.8974762439727,343.06533431454943,161.29453305562336,51.047349486126194,19.609515572647798,1.3898529924979983
high,5,2.466666666666667,0.3205897343611891,7.083596343554802,0.9953934769280625,714.8099379142125,1.4778969780208677,21.24639549255371,7.115860155483395,944.4144770145416,89.49611234210168,146.4567472149077,12.736883393471047,19.08057593558333,1.9935066033806794
