uav_id,endurance_s,final_soc_pct,route_completion_pct,mission_complete,total_propulsion_energy_wh,thermal_encounters,total_thermalling_time_s,mean_thermal_alt_gain_m,events_first_detected_count,investigations_count,entered_landing,landing_success,timestamp_anomalies,energy_patrol_wh,energy_event_investigation_wh,energy_thermal_search_wh,energy_thermal_exploitation_wh,energy_glide_return_wh,energy_landing_wh,execution_duration_s,mission_completion_pct,propulsion_energy_wh,thermalling_time_s,thermal_alt_gain_m,total_events,total_hp_events,hp_detected_count,hp_investigated_count,hp_expired_count,hp_unresolved_count,hp_detected_pct,hp_investigated_pct,hp_expired_pct,hp_unresolved_pct,all_detected_pct,mean_hp_investigation_latency_s,landing_entry_pct,landing_completion_pct,valid_termination_pct,fsm_transitions,fsm_transitions_per_min,fsm_rejected_transitions,landings,landings_entered,process_failures,mavlink_timeouts
uav_1,1070.1963131427765,10.531600952148438,37.5,True,4.919395394390449,0.0,0.0,,5.0,3.0,False,False,24.0,3.0568766070064157,0.3775937557220459,1.4849250316619873,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_2,1071.4855949878693,5.510616779327393,85.71428571428571,False,5.195309295435436,0.0,0.0,,3.0,2.0,True,False,17.0,3.1820446393685415,0.25947070121765137,1.6784179210662842,0.0,0.0,0.07537603378295898,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_3,1069.0012919902802,26.32050895690918,100.0,True,4.052276183821959,1.0,162.58038592338562,245.47674560546875,3.0,2.0,False,False,12.0,3.051046063163085,0.25168049335479736,0.7495496273040771,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_4,1071.6904780864716,10.27338981628418,100.0,True,4.933382686693221,0.0,0.0,,2.0,1.0,False,False,13.0,2.9308000174351037,0.126379132270813,1.8762035369873047,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_5,1064.1129660606384,0.0,100.0,True,5.816559947910719,1.0,39.907796144485474,80.96432495117188,1.0,0.0,True,False,11.0,3.0291674508480355,0.0,2.0867886543273926,0.0004767179489135742,0.0,0.700127124786377,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_6,1065.308764219284,26.25279998779297,0.0,True,4.054530730820261,6.0,540.6586859226227,97.42300669352214,2.0,0.0,False,False,17.0,3.3147441059118137,0.0,0.7381923198699951,0.0013074874877929688,0.0002868175506591797,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEET,,13.148152748743692,70.53571428571429,,,8.0,,,,,,,,,,,,,,1068.63256808122,83.33333333333334,28.971454239072045,743.1468679904938,141.28802575005426,60.0,23.0,9.0,8.0,14.0,1.0,39.130434782608695,34.78260869565217,60.869565217391305,4.3478260869565215,26.666666666666668,0.27352261543273926,33.33333333333333,0.0,83.33333333333334,53.0,0.49626754115026844,0.0,0.0,2.0,0.0,0.0
