fleet_size_n,n_runs,requested_uavs,spawned_processes_mean,connected_uavs_mean,armed_uavs_mean,takeoff_uavs_mean,arming_success_pct,takeoff_success_pct,cpu_pct_mean,cpu_pct_std,mem_pct_mean,mem_pct_std,rtf_mean,rtf_std,ros2_latency_ms_mean,ros2_latency_ms_std,ros2_dropped_msg_rate,mavlink_timeout_count_mean,process_failure_count_mean,log_size_mb_mean
6,3,6,6.0,6.0,6.0,6.0,100.0,100.0,24.50208333333333,0.4580974298207042,22.204791666666665,0.13831340845461498,1.0050051551461758,0.003740614180429438,5.17314,0.4243023396941412,,0.0,0.0,3.3425916035970054
12,3,12,12.0,12.0,12.0,12.0,100.0,100.0,44.825437631027256,0.278722000216279,23.827338836477992,0.07722896025200099,1.0078594298245616,0.012003291715346004,7.596307300838574,2.624782975824326,,0.0,0.0,6.620424588521321
24,3,24,24.0,24.0,24.0,24.0,100.0,100.0,71.71150784173236,0.37274827648594455,28.237024653026563,0.1128042376626565,1.0018511415525115,0.0042899318044808165,17.484290012332178,1.5321926856785753,,24.333333333333332,0.0,13.072103182474772
