level,n_runs,event_workload_per_uav_mean,total_events_mean,total_events_std,total_hp_events_mean,total_hp_events_std,hp_detected_count_mean,hp_detected_count_std,hp_investigated_count_mean,hp_investigated_count_std,hp_expired_count_mean,hp_expired_count_std,hp_unresolved_count_mean,hp_unresolved_count_std,hp_detected_pct_mean,hp_detected_pct_std,hp_investigated_pct_mean,hp_investigated_pct_std,hp_expired_pct_mean,hp_expired_pct_std,hp_unresolved_pct_mean,hp_unresolved_pct_std,all_detected_pct_mean,all_detected_pct_std,mean_hp_investigation_latency_s_mean,mean_hp_investigation_latency_s_std
low,5,0.1,18.2,2.949576240750525,4.6,1.6733200530681511,0.6,0.8944271909999157,0.6,0.8944271909999157,3.4,1.816590212458495,0.6,0.8944271909999159,13.0,18.57417562100671,13.0,18.57417562100671,70.33333333333334,18.944362984510427,16.666666666666668,23.570226039551585,19.99035020706847,10.356320014064707,32.60910511016846,45.89562119370715
nominal,5,0.7666666666666667,47.6,10.807404868885037,18.0,4.301162633521313,4.6,0.8944271909999159,4.6,0.8944271909999159,12.0,2.0,1.4,2.073644135332772,26.158730158730158,5.267354548110478,26.158730158730158,5.267354548110478,67.61904761904762,6.495342052574642,6.222222222222223,8.187614856418017,25.015151515151516,2.7583457133543225,8.108574554125468,11.541411991471374
high,5,2.033333333333333,112.8,9.909591313469996,66.8,7.085195833567341,15.0,5.338539126015656,12.2,3.63318042491699,51.0,3.9370039370059056,3.6,0.8944271909999159,22.017911247562548,5.684563688390245,18.023720626410416,3.717312672661717,76.59717760607113,3.9297034591347506,5.379101767518457,1.126416178585287,23.45788731111596,4.592882954512278,4.523214026231958,3.718557227822969
