experiment_id,uav_id,n_samples,init_exclude_s,pos_rmse_m,alt_rmse_m,vel_rmse_mps,vspeed_rmse_mps,att_rmse_deg,timestamp_offset_ms,telemetry_dropout_pct,init_window_transients,post_init_anomalies
verification/px4jsbsim,1,747,20.0,1.919,1.911,0.297,0.293,1.385,-4.0,1.34,2,0
verification/px4jsbsim,2,747,20.0,1.151,1.137,0.308,0.302,0.36,0.0,1.34,0,0
verification/px4jsbsim,3,747,20.0,1.682,1.673,0.301,0.297,0.516,0.0,1.34,0,0
verification/px4jsbsim,4,747,20.0,2.335,2.332,0.236,0.229,0.749,0.0,1.34,0,0
verification/px4jsbsim,5,747,20.0,1.204,1.201,0.26,0.252,1.224,-3.33,1.21,0,0
verification/px4jsbsim,6,747,20.0,3.134,3.13,0.302,0.297,0.621,-4.0,1.21,10,0
