experiment_id,event_id,priority,event_type,north_m,east_m,is_high_priority,creation_time,activation_time,expiration_time,radius_m,first_detect_time,detected_by_uav,investigation_start_time,investigation_complete_time,investigated_by_uav,final_state
stochastic/N_6_seed_42,40,2,0,754.15,2290.48,0,1781492754.47,1781492754.47,1781492874.47,20.0,,,,,,unresolved_active
stochastic/N_6_seed_43,1,2,0,1215.96,2777.0,0,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,2,4,0,2011.0,2274.77,1,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,3,1,0,1314.76,-1735.15,0,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,4,2,1,949.98,1553.74,0,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,5,4,0,1848.64,83.31,1,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,6,5,0,1647.86,87.47,1,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,7,2,1,218.36,451.16,0,1781492807.33,1781492807.33,1781492927.33,20.0,1781492819.05,5.0,,,,expired
stochastic/N_6_seed_43,8,1,0,1547.62,2341.94,0,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,9,5,0,1039.16,-218.49,1,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,10,2,0,1674.72,-399.06,0,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,11,3,0,2353.52,-182.05,1,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,12,5,1,1806.55,1526.73,1,1781492807.33,1781492807.33,1781492927.33,20.0,,,,,,expired
stochastic/N_6_seed_43,13,1,1,217.84,-739.56,0,1781492869.76,1781492869.76,1781492989.76,20.0,1781492871.338,6.0,,,,expired
stochastic/N_6_seed_43,14,2,1,886.41,-451.25,0,1781492876.38,1781492876.38,1781492996.38,20.0,1781492924.049,5.0,,,,expired
stochastic/N_6_seed_43,15,5,1,1793.15,1866.81,1,1781492903.12,1781492903.12,1781493023.12,20.0,,,,,,expired
stochastic/N_6_seed_43,16,3,1,1291.02,-200.26,1,1781492955.08,1781492955.08,1781493075.08,20.0,1781493019.966,4.0,1781493020.098,1781493050.187,4.0,investigated
stochastic/N_6_seed_43,17,1,1,466.82,-2023.89,0,1781493004.3,1781493004.3,1781493124.3,20.0,1781493039.335,6.0,,,,expired
stochastic/N_6_seed_43,18,4,0,610.39,454.29,1,1781493011.43,1781493011.43,1781493131.43,20.0,1781493036.741,3.0,1781493036.921,1781493067.352,3.0,investigated
stochastic/N_6_seed_43,19,1,1,1938.67,1677.04,0,1781493026.43,1781493026.43,1781493146.43,20.0,1781493095.312,2.0,,,,expired
stochastic/N_6_seed_43,20,1,0,374.96,-1525.84,0,1781493030.6,1781493030.6,1781493150.6,20.0,,,,,,expired
stochastic/N_6_seed_43,21,2,1,1304.79,-2323.0,0,1781493048.1,1781493048.1,1781493168.1,20.0,1781493079.485,6.0,,,,expired
stochastic/N_6_seed_43,22,5,0,423.81,2757.8,1,1781493115.73,1781493115.73,1781493235.73,20.0,,,,,,expired
stochastic/N_6_seed_43,23,3,0,881.4,155.13,1,1781493122.34,1781493122.34,1781493242.34,20.0,,,,,,expired
stochastic/N_6_seed_43,24,2,1,2236.31,108.09,0,1781493178.34,1781493178.34,1781493298.34,20.0,,,,,,expired
stochastic/N_6_seed_43,25,4,0,2444.01,-1161.56,1,1781493189.56,1781493189.56,1781493309.56,20.0,,,,,,expired
stochastic/N_6_seed_43,26,1,0,2376.97,-62.02,0,1781493219.21,1781493219.21,1781493339.21,20.0,,,,,,expired
stochastic/N_6_seed_43,27,1,0,1436.28,-2089.34,0,1781493228.65,1781493228.65,1781493348.65,20.0,,,,,,expired
stochastic/N_6_seed_43,28,2,1,1818.96,-1406.05,0,1781493237.38,1781493237.38,1781493357.38,20.0,,,,,,expired
stochastic/N_6_seed_43,29,2,1,1473.85,-1697.33,0,1781493264.1,1781493264.1,1781493384.1,20.0,,,,,,expired
stochastic/N_6_seed_43,30,3,0,2043.89,-152.55,1,1781493266.45,1781493266.45,1781493386.45,20.0,,,,,,expired
stochastic/N_6_seed_43,31,2,1,1953.22,1441.31,0,1781493286.74,1781493286.74,1781493406.74,20.0,,,,,,expired
stochastic/N_6_seed_43,32,4,0,524.9,-1889.14,1,1781493306.37,1781493306.37,1781493426.37,20.0,1781493358.684,6.0,1781493358.876,1781493388.881,6.0,investigated
stochastic/N_6_seed_43,33,5,1,1937.53,-716.93,1,1781493306.4,1781493306.4,1781493426.4,20.0,,,,,,expired
stochastic/N_6_seed_43,34,2,0,2102.71,-1755.88,0,1781493313.92,1781493313.92,1781493433.92,20.0,,,,,,expired
stochastic/N_6_seed_43,35,1,0,2753.98,2709.24,0,1781493332.57,1781493332.57,1781493452.57,20.0,1781493389.264,1.0,,,,expired
stochastic/N_6_seed_43,36,3,0,1560.4,-1059.76,1,1781493371.01,1781493371.01,1781493491.01,20.0,,,,,,expired
stochastic/N_6_seed_43,37,4,0,1959.05,766.85,1,1781493379.15,1781493379.15,1781493499.15,20.0,1781493380.552,3.0,1781493427.694,1781493457.706,3.0,investigated
stochastic/N_6_seed_43,38,2,0,258.8,1177.97,0,1781493425.33,1781493425.33,1781493545.33,20.0,,,,,,unresolved_active
stochastic/N_6_seed_43,39,1,0,2326.45,152.17,0,1781493455.83,1781493455.83,1781493575.83,20.0,,,,,,unresolved_active
stochastic/N_6_seed_43,40,3,1,577.17,2432.34,1,1781493456.48,1781493456.48,1781493576.48,20.0,,,,,,unresolved_active
stochastic/N_6_seed_43,41,1,1,2719.22,-679.7,0,1781493470.12,1781493470.12,1781493590.12,20.0,,,,,,unresolved_active
stochastic/N_6_seed_43,42,2,0,680.74,2634.19,0,1781493493.6,1781493493.6,1781493613.6,20.0,,,,,,unresolved_active
stochastic/N_6_seed_43,43,2,1,1171.97,1423.96,0,1781493514.29,1781493514.29,1781493634.29,20.0,,,,,,unresolved_active
stochastic/N_6_seed_43,44,1,1,1875.27,-1213.75,0,1781493526.71,1781493526.71,1781493646.71,20.0,,,,,,unresolved_active
