Experiment,Fleet size,New runs,Reused runs,Total analysed runs,Seeds,Horizon,Purpose
Nominal case study,6,1,0,1,42,900 s,End-to-end demonstration
Repeated stochastic,6,20,0,20,42--61,600 s,Distributional statistics
Reduced baselines,6,25,5,30,42--46,600 s,5 ablations x 5 seeds; full-framework reuses stochastic 42--46
Thermal sensitivity,6,10,5,15,42--46,600 s,low/high (10 new); nominal reuses stochastic 42--46
Event sensitivity,6,10,5,15,42--46,600 s,low/high (10 new); nominal reuses stochastic 42--46
Scalability,6/12/24,9,0,9,101--103,120 s,Resource overhead (3 seeds/size)
PX4--JSBSim verification,6,1,0,1,--,150 s,EKF vs FDM consistency capture
Landing validation,6,1,0,1,201,300 s,one six-UAV simulation = six vehicle-level landing trials
